window_idx,is_start,is_end,oos_start,oos_end,best_ma_window,best_buy_buffer_zone_pct,best_sell_buffer_zone_pct,best_hold_days,best_recent_months,is_cagr,is_mdd,is_calmar,is_trades,is_win_rate,oos_cagr,oos_mdd,oos_calmar,oos_trades,oos_win_rate,wfe_calmar,wfe_cagr
0,1999-03-10,2005-02-28,2005-03-01,2007-02-28,200,0.01,0.05,2,8,9.22,-37.94,0.2429,3,66.67,4.21,-12.87,0.3272,1,100.0,1.3468,0.4568
1,1999-03-10,2007-02-28,2007-03-01,2009-02-28,200,0.01,0.05,2,4,6.93,-37.94,0.1826,5,60.0,-7.98,-31.75,-0.2512,3,33.33,-1.3758,-1.1514
2,1999-03-10,2009-02-28,2009-03-01,2011-02-28,200,0.01,0.05,2,8,5.24,-37.94,0.1381,7,57.14,42.99,-15.61,2.754,0,0.0,19.9368,8.2018
3,1999-03-10,2011-02-28,2011-03-01,2013-02-28,200,0.01,0.05,2,8,8.9,-37.94,0.2346,7,57.14,-2.4,-20.39,-0.1178,2,0.0,-0.5021,-0.2698
4,1999-03-10,2013-02-28,2013-03-01,2015-02-28,200,0.03,0.05,3,0,7.22,-36.49,0.198,8,62.5,24.15,-8.25,2.9275,0,0.0,14.7886,3.3427
5,1999-03-10,2015-02-28,2015-03-01,2017-02-28,200,0.03,0.05,3,0,9.72,-36.49,0.2663,8,62.5,-6.2,-31.26,-0.1984,2,0.0,-0.7451,-0.6382
6,1999-03-10,2017-02-28,2017-03-01,2019-02-28,200,0.03,0.05,3,0,8.69,-36.49,0.2383,10,60.0,7.72,-15.48,0.4988,1,100.0,2.0934,0.888
7,1999-03-10,2019-02-28,2019-03-01,2021-02-28,200,0.03,0.05,3,0,9.01,-36.49,0.247,11,63.64,22.41,-25.17,0.8902,1,100.0,3.6036,2.486
8,1999-03-10,2021-02-28,2021-03-01,2023-02-28,200,0.03,0.05,3,0,10.5,-36.49,0.2877,12,66.67,2.02,-14.47,0.1399,1,100.0,0.4863,0.1928
9,1999-03-10,2023-02-28,2023-03-01,2025-02-28,200,0.03,0.05,3,0,10.12,-36.49,0.2774,13,69.23,28.53,-13.56,2.1043,0,0.0,7.5854,2.8181
10,1999-03-10,2025-02-28,2025-03-01,2026-02-17,200,0.03,0.05,3,0,11.44,-36.49,0.3135,13,69.23,16.23,-7.88,2.0601,0,0.0,6.5717,1.419
