month,ffr_pct,a_global,b_global,spread_global
2010-02,0.13,-6.1,0.37,0.002351
2010-03,0.16,-6.1,0.37,0.002377
2010-04,0.2,-6.1,0.37,0.002412
2010-05,0.2,-6.1,0.37,0.002412
2010-06,0.18,-6.1,0.37,0.002394
2010-07,0.18,-6.1,0.37,0.002394
2010-08,0.19,-6.1,0.37,0.002403
2010-09,0.19,-6.1,0.37,0.002403
2010-10,0.19,-6.1,0.37,0.002403
2010-11,0.19,-6.1,0.37,0.002403
2010-12,0.18,-6.1,0.37,0.002394
2011-01,0.17,-6.1,0.37,0.002386
2011-02,0.16,-6.1,0.37,0.002377
2011-03,0.14,-6.1,0.37,0.002359
2011-04,0.1,-6.1,0.37,0.002325
2011-05,0.09,-6.1,0.37,0.002316
2011-06,0.09,-6.1,0.37,0.002316
2011-07,0.07,-6.1,0.37,0.002299
2011-08,0.1,-6.1,0.37,0.002325
2011-09,0.08,-6.1,0.37,0.002308
2011-10,0.07,-6.1,0.37,0.002299
2011-11,0.08,-6.1,0.37,0.002308
2011-12,0.07,-6.1,0.37,0.002299
2012-01,0.08,-6.1,0.37,0.002308
2012-02,0.1,-6.1,0.37,0.002325
2012-03,0.13,-6.1,0.37,0.002351
2012-04,0.14,-6.1,0.37,0.002359
2012-05,0.16,-6.1,0.37,0.002377
2012-06,0.16,-6.1,0.37,0.002377
2012-07,0.16,-6.1,0.37,0.002377
2012-08,0.13,-6.1,0.37,0.002351
2012-09,0.14,-6.1,0.37,0.002359
2012-10,0.16,-6.1,0.37,0.002377
2012-11,0.16,-6.1,0.37,0.002377
2012-12,0.16,-6.1,0.37,0.002377
2013-01,0.14,-6.1,0.37,0.002359
2013-02,0.15,-6.1,0.37,0.002368
2013-03,0.14,-6.1,0.37,0.002359
2013-04,0.15,-6.1,0.37,0.002368
2013-05,0.11,-6.1,0.37,0.002333
2013-06,0.09,-6.1,0.37,0.002316
2013-07,0.09,-6.1,0.37,0.002316
2013-08,0.08,-6.1,0.37,0.002308
2013-09,0.08,-6.1,0.37,0.002308
2013-10,0.09,-6.1,0.37,0.002316
2013-11,0.08,-6.1,0.37,0.002308
2013-12,0.09,-6.1,0.37,0.002316
2014-01,0.07,-6.1,0.37,0.002299
2014-02,0.07,-6.1,0.37,0.002299
2014-03,0.08,-6.1,0.37,0.002308
2014-04,0.09,-6.1,0.37,0.002316
2014-05,0.09,-6.1,0.37,0.002316
2014-06,0.1,-6.1,0.37,0.002325
2014-07,0.09,-6.1,0.37,0.002316
2014-08,0.09,-6.1,0.37,0.002316
2014-09,0.09,-6.1,0.37,0.002316
2014-10,0.09,-6.1,0.37,0.002316
2014-11,0.09,-6.1,0.37,0.002316
2014-12,0.12,-6.1,0.37,0.002342
2015-01,0.11,-6.1,0.37,0.002333
2015-02,0.11,-6.1,0.37,0.002333
2015-03,0.11,-6.1,0.37,0.002333
2015-04,0.12,-6.1,0.37,0.002342
2015-05,0.12,-6.1,0.37,0.002342
2015-06,0.13,-6.1,0.37,0.002351
2015-07,0.13,-6.1,0.37,0.002351
2015-08,0.14,-6.1,0.37,0.002359
2015-09,0.14,-6.1,0.37,0.002359
2015-10,0.12,-6.1,0.37,0.002342
2015-11,0.12,-6.1,0.37,0.002342
2015-12,0.24,-6.1,0.37,0.002448
2016-01,0.34,-6.1,0.37,0.00254
2016-02,0.38,-6.1,0.37,0.002578
2016-03,0.36,-6.1,0.37,0.002559
2016-04,0.37,-6.1,0.37,0.002569
2016-05,0.37,-6.1,0.37,0.002569
2016-06,0.38,-6.1,0.37,0.002578
2016-07,0.39,-6.1,0.37,0.002588
2016-08,0.4,-6.1,0.37,0.002597
2016-09,0.4,-6.1,0.37,0.002597
2016-10,0.4,-6.1,0.37,0.002597
2016-11,0.41,-6.1,0.37,0.002607
2016-12,0.54,-6.1,0.37,0.002735
2017-01,0.65,-6.1,0.37,0.002849
2017-02,0.66,-6.1,0.37,0.002859
2017-03,0.79,-6.1,0.37,0.003
2017-04,0.9,-6.1,0.37,0.003124
2017-05,0.91,-6.1,0.37,0.003136
2017-06,1.04,-6.1,0.37,0.00329
2017-07,1.15,-6.1,0.37,0.003427
2017-08,1.16,-6.1,0.37,0.003439
2017-09,1.15,-6.1,0.37,0.003427
2017-10,1.15,-6.1,0.37,0.003427
2017-11,1.16,-6.1,0.37,0.003439
2017-12,1.3,-6.1,0.37,0.003622
2018-01,1.41,-6.1,0.37,0.003772
2018-02,1.42,-6.1,0.37,0.003786
2018-03,1.51,-6.1,0.37,0.003914
2018-04,1.69,-6.1,0.37,0.004183
2018-05,1.7,-6.1,0.37,0.004198
2018-06,1.82,-6.1,0.37,0.004388
2018-07,1.91,-6.1,0.37,0.004537
2018-08,1.91,-6.1,0.37,0.004537
2018-09,1.95,-6.1,0.37,0.004604
2018-10,2.19,-6.1,0.37,0.005031
2018-11,2.2,-6.1,0.37,0.005049
2018-12,2.27,-6.1,0.37,0.005181
2019-01,2.4,-6.1,0.37,0.005436
2019-02,2.4,-6.1,0.37,0.005436
2019-03,2.41,-6.1,0.37,0.005456
2019-04,2.42,-6.1,0.37,0.005476
2019-05,2.39,-6.1,0.37,0.005416
2019-06,2.38,-6.1,0.37,0.005396
2019-07,2.4,-6.1,0.37,0.005436
2019-08,2.13,-6.1,0.37,0.00492
2019-09,2.04,-6.1,0.37,0.00476
2019-10,1.83,-6.1,0.37,0.004405
2019-11,1.55,-6.1,0.37,0.003972
2019-12,1.55,-6.1,0.37,0.003972
2020-01,1.55,-6.1,0.37,0.003972
2020-02,1.58,-6.1,0.37,0.004016
2020-03,0.65,-6.1,0.37,0.002849
2020-04,0.05,-6.1,0.37,0.002282
2020-05,0.05,-6.1,0.37,0.002282
2020-06,0.08,-6.1,0.37,0.002308
2020-07,0.09,-6.1,0.37,0.002316
2020-08,0.1,-6.1,0.37,0.002325
2020-09,0.09,-6.1,0.37,0.002316
2020-10,0.09,-6.1,0.37,0.002316
2020-11,0.09,-6.1,0.37,0.002316
2020-12,0.09,-6.1,0.37,0.002316
2021-01,0.09,-6.1,0.37,0.002316
2021-02,0.08,-6.1,0.37,0.002308
2021-03,0.07,-6.1,0.37,0.002299
2021-04,0.07,-6.1,0.37,0.002299
2021-05,0.06,-6.1,0.37,0.002291
2021-06,0.08,-6.1,0.37,0.002308
2021-07,0.1,-6.1,0.37,0.002325
2021-08,0.09,-6.1,0.37,0.002316
2021-09,0.08,-6.1,0.37,0.002308
2021-10,0.08,-6.1,0.37,0.002308
2021-11,0.08,-6.1,0.37,0.002308
2021-12,0.08,-6.1,0.37,0.002308
2022-01,0.08,-6.1,0.37,0.002308
2022-02,0.08,-6.1,0.37,0.002308
2022-03,0.2,-6.1,0.37,0.002412
2022-04,0.33,-6.1,0.37,0.002531
2022-05,0.77,-6.1,0.37,0.002978
2022-06,1.21,-6.1,0.37,0.003503
2022-07,1.68,-6.1,0.37,0.004167
2022-08,2.33,-6.1,0.37,0.005297
2022-09,2.56,-6.1,0.37,0.005767
2022-10,3.08,-6.1,0.37,0.006986
2022-11,3.78,-6.1,0.37,0.009042
2022-12,4.1,-6.1,0.37,0.010172
2023-01,4.33,-6.1,0.37,0.011071
2023-02,4.57,-6.1,0.37,0.012093
2023-03,4.65,-6.1,0.37,0.012454
2023-04,4.83,-6.1,0.37,0.013306
2023-05,5.06,-6.1,0.37,0.014479
2023-06,5.08,-6.1,0.37,0.014586
2023-07,5.12,-6.1,0.37,0.014802
2023-08,5.33,-6.1,0.37,0.015988
2023-09,5.33,-6.1,0.37,0.015988
2023-10,5.33,-6.1,0.37,0.015988
2023-11,5.33,-6.1,0.37,0.015988
2023-12,5.33,-6.1,0.37,0.015988
2024-01,5.33,-6.1,0.37,0.015988
2024-02,5.33,-6.1,0.37,0.015988
2024-03,5.33,-6.1,0.37,0.015988
2024-04,5.33,-6.1,0.37,0.015988
2024-05,5.33,-6.1,0.37,0.015988
2024-06,5.33,-6.1,0.37,0.015988
2024-07,5.33,-6.1,0.37,0.015988
2024-08,5.33,-6.1,0.37,0.015988
2024-09,5.13,-6.1,0.37,0.014856
2024-10,4.83,-6.1,0.37,0.013306
2024-11,4.64,-6.1,0.37,0.012408
2024-12,4.48,-6.1,0.37,0.011699
2025-01,4.33,-6.1,0.37,0.011071
2025-02,4.33,-6.1,0.37,0.011071
2025-03,4.33,-6.1,0.37,0.011071
2025-04,4.33,-6.1,0.37,0.011071
2025-05,4.33,-6.1,0.37,0.011071
2025-06,4.33,-6.1,0.37,0.011071
2025-07,4.33,-6.1,0.37,0.011071
2025-08,4.33,-6.1,0.37,0.011071
2025-09,4.22,-6.1,0.37,0.010632
2025-10,4.09,-6.1,0.37,0.010135
2025-11,3.88,-6.1,0.37,0.009381
2025-12,3.72,-6.1,0.37,0.008844
2026-01,3.64,-6.1,0.37,0.008587
2026-02,3.64,-6.1,0.37,0.008587
